Name,Smiles,solv_dip,G_solv,HOMO_solv,LUMO_solv,C_charges,O_charges,Most_neg,Most_pos,Het_charges,SASA,LsoluHsolv,LsolvHsolu,Volume,MW,DeltaG_sol
Ph3-en-708_water.log,Cc1cc(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)nn1C,8.4205,0.18713,-0.35968,-0.01088,-0.9787280000000003,-1.8743509999999999,-0.659279,0.665187,-4.268033,641.6618041992188,0.43429,0.50839,497.836,388.22467469423856,-0.03077000000000002
Ph3-en-9_water.log,CC(C)C[C@H](NC(=O)c1c[nH]c2ncccc12)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,6.7876,0.202723,-0.34764,-0.03268,-0.3296410000000001,-1.903435,-0.656496,0.653453,-4.74785,626.1631469726562,0.41249,0.49635,416.315,410.20915973530686,-0.02951000000000001
Ph4-en-214_water.log,CC(C)C[C@H](NC(=O)CNC(=O)C1CCCCC1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,3.3385,0.10508,-0.36583,0.01576,-1.1362750000000004,-2.544982,-0.666833,0.603467,-5.205081,658.0439453125,0.46093,0.51454,535.224,433.2715613975451,-0.026336
Ph4-en-220_water.log,CC(C)C[C@H](NC(=O)CCOc1ccccc1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,6.3421,0.121317,-0.34952,-0.00369,-1.133715,-2.288412,-0.660743,0.62959,-4.407100999999999,596.4513549804688,0.44148,0.49823,503.476,414.22925442898884,-0.023062000000000013
Ph4-en-252_water.log,CC(C)C[C@H](NC(=O)CCC(=O)N1CCOCC1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,5.8029,0.0301,-0.35369,0.01751,-0.4794109999999998,-2.968338,-0.705178,0.61406,-5.524324,597.4119262695312,0.46268000000000004,0.5024,491.812,435.25084355540906,-0.027659
Ph4-en-425_water.log,CC(C)C[C@H](NC(=O)NCCn1cccn1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,9.1546,0.204943,-0.35753,0.0102,-0.5243210000000001,-1.9305420000000002,-0.670069,0.71788,-5.076957,636.8612060546875,0.45537,0.50624,475.146,403.2356669001929,-0.029593000000000008
Ph4-en-683_water.log,CC(C)C[C@H](NC(=O)CNCC(F)F)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,4.5127,-0.053324,-0.36044,0.01585,-0.17300100000000018,-1.896623,-0.658911,0.621926,-5.000070999999999,597.4099731445312,0.46102,0.50915,374.817,387.21057846508927,-0.026219000000000003
Ph4-en-705_water.log,CC(C)C[C@H](NC(=O)CCC(=O)N(C)C)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,9.2931,0.048878,-0.35314,0.01373,-0.6219749999999998,-2.559953,-0.692782,0.626226,-5.090432999999999,604.3453979492188,0.45890000000000003,0.50185,464.172,393.24001550128173,-0.032339
Ph4-en-79_water.log,CCCNS(=O)(=O)NC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,9.4313,-0.032107,-0.36932,-0.0114,-0.7690740000000001,-3.821963,-0.984881,2.572123,-5.063676,603.9736328125,0.43377,0.51803,438.178,430.2024825455372,-0.029245999999999998
Ph5-en-20_water.log,Cc1nnc(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)[nH]1,5.7687,0.158213,-0.37104,-0.02421,-0.23162300000000025,-1.7956029999999998,-0.654614,0.621166,-4.725160999999999,602.9017944335938,0.42096,0.5197499999999999,361.217,375.2041947151295,-0.031144000000000005
Ph5-en-40_water.log,Cc1n[nH]c(C)c1C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,6.5768,0.164923,-0.35949,-0.00768,-0.8857049999999999,-1.9103939999999997,-0.656605,0.659857,-4.564275,595.116455078125,0.43749,0.5082,452.338,388.22467469423856,-0.028610000000000024
Ph5-en-456_water.log,Cc1nc[nH]c1C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,4.339,0.143995,-0.35776,-0.02008,-0.36129,-1.8972799999999999,-0.660033,0.634209,-4.7427790000000005,582.4467163085938,0.42509,0.50647,425.8,374.20893860170685,-0.03053699999999998
Ph5-en-472_water.log,Cc1n[nH]cc1C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,6.5535,0.157848,-0.36209,-0.01167,-0.595468,-1.909705,-0.658452,0.656167,-4.501619,580.92333984375,0.4335,0.5108,400.915,374.20893860170685,-0.032236000000000015
Ph5-en-475_water.log,Cc1[nH]ncc1C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,7.7467,0.155368,-0.36207,-0.01107,-0.607181,-1.904357,-0.656322,0.657109,-4.496020000000001,590.4854736328125,0.4341,0.51078,400.775,374.20893860170685,-0.028689999999999993
